Tow #,lat,lon,pres,temp (use),sal,sigma,fluor,att.coeff.,oxygen_diss,O2_satur,pH,Om-Arag,O2
1,32.53476,-118.18622,1066,3.998,34.495,27.393,0.01,0.0064,0.4948,6.806222785,7.51048511,0.529749265,21.50858338
1,32.53476,-118.18623,1066,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53475,-118.18624,1066.4,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53475,-118.18624,1066.8,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53475,-118.18625,1066.9,3.998,34.495,27.393,0.01,0.0064,0.4963,6.826856039,7.510573373,0.529738007,21.57378725
1,32.53474,-118.18625,1066.6,3.998,34.495,27.393,0.01,0.0076,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53474,-118.18626,1066.2,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53473,-118.18627,1065.9,3.998,34.495,27.393,0.01,0.0060,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53473,-118.18628,1065.7,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53473,-118.18628,1065.8,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53473,-118.18629,1065.8,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53473,-118.1863,1065.9,3.998,34.495,27.393,0.01,0.0064,0.4992,6.866746997,7.510744014,0.529716241,21.69984806
1,32.53473,-118.1863,1065.9,3.998,34.495,27.393,0.01,0.0068,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53473,-118.18631,1065.9,3.998,34.495,27.393,0.01,0.0076,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53472,-118.18632,1065.8,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53472,-118.18632,1065.6,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53471,-118.18633,1065.6,3.998,34.495,27.393,0.01,0.0064,0.4874,6.704432064,7.51004968,0.529804806,21.18691095
1,32.53471,-118.18634,1065.6,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53471,-118.18634,1065.7,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53471,-118.18635,1065.7,3.998,34.495,27.393,0.01,0.0064,0.4947,6.804847235,7.510479226,0.529750016,21.50423645
1,32.53471,-118.18636,1065.7,3.998,34.495,27.393,0.01,0.0064,0.4933,6.785589531,7.510396847,0.529760524,21.44337951
1,32.53471,-118.18637,1065.5,3.998,34.495,27.393,0.01,0.0064,0.4932,6.78421398,7.510390963,0.529761274,21.43903258
1,32.53471,-118.18637,1065.3,3.998,34.495,27.393,0.01,0.0064,0.4932,6.78421398,7.510390963,0.529761274,21.43903258
1,32.5347,-118.18638,1065.2,3.998,34.495,27.393,0.01,0.0064,0.4932,6.78421398,7.510390963,0.529761274,21.43903258
1,32.5347,-118.18639,1065.2,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.18639,1065.2,3.999,34.495,27.393,0.01,0.0076,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.1864,1065.2,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.1864,1065.2,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
1,32.53469,-118.18641,1065,3.999,34.495,27.393,0.01,0.0064,0.4991,6.865537679,7.510747379,0.529743884,21.69550114
