CTD,20120906FEGNRIFS
#ORIGINAL_FILE=\CTD\Report\c3100a.asc
#CTD_SAL ax+b   :a=0.981152
#CTD_SAL ax+b   :b=0.659199
# sensor 0 = Frequency  0  temperature, 1549, 06-Oct-09
# sensor 1 = Frequency  1  conductivity, 1245, 15-Oct-09, cpcor = -9.5700e-08
# sensor 2 = Frequency  2  pressure, 53581, 15-jul-1998
# System UpLoad Time = May 10 2010 06:46:35
# NMEA Latitude = 30 59.82 N
# NMEA Longitude = 138 00.00 E
NUMBER_HEADERS=10
EXPOCODE=49SO201005
SECT=138E
STNNBR=  3100CR
CASTNO=1
DATE=20100509
TIME=2140
LATITUDE=30.997
LONGITUDE=138.000
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,
402,2,18.5961,2,34.74854396,2,181.0640891,1
403,2,18.593,2,34.75021192,2,180.6618879,1
404,2,18.5903,2,34.75187987,2,180.429447,1
405,2,18.588,2,34.75286103,2,180.1917827,1
406,2,18.5845,2,34.75423464,2,179.8866495,1
407,2,18.5805,2,34.75580448,2,179.5423409,1
408,2,18.5775,2,34.75737433,2,179.3203468,1
409,2,18.5766,2,34.75766867,2,179.0517774,1
410,2,18.5755,2,34.75815925,2,178.8471945,1
411,2,18.5726,2,34.75943475,2,178.6765637,1
412,2,18.5719,2,34.75972909,2,178.6665522,1
413,2,18.5712,2,34.76012155,2,178.6487057,1
414,2,18.5698,2,34.76100459,2,178.4480404,1
415,2,18.5696,2,34.7611027,2,178.1812121,1
416,2,18.5679,2,34.76257443,2,178.0279926,1
417,2,18.5616,2,34.76669527,2,177.8630205,1
418,2,18.5611,2,34.76738208,2,178.010146,1
419,2,18.5579,2,34.76914815,2,177.9178661,1
420,2,18.5558,2,34.77101234,2,177.7124127,1
421,2,18.5545,2,34.77287653,2,177.5544051,1
422,2,18.5537,2,34.77503506,2,177.4177263,1
423,2,18.5534,2,34.77827287,2,177.3280581,1
424,2,18.5517,2,34.78612208,2,177.0864762,1
425,2,18.5517,2,34.78994858,2,176.819648,1
426,2,18.5524,2,34.79377507,2,176.7190977,1
427,2,18.5515,2,34.79583549,2,176.6546758,1
428,2,18.5491,2,34.79838648,2,176.6020066,1
429,2,18.5478,2,34.79936764,2,176.423976,1
430,2,18.5466,2,34.79995633,2,176.3225552,1
431,2,18.5466,2,34.8004469,2,176.2381103,1
