CTD,20150316FEGNRIFS
#ORIGINAL_FILE=\Report\C3345b.asc
#CTD_SAL ax+b   :a=1.0003361723921
#CTD_SAL ax+b   :b=-0.0131915369898792
# System UpLoad Time = Jan 27 2015 14:40:41
# NMEA Latitude = 33 44.95 N
# NMEA Longitude = 137 59.65 E
# Temperature SN = 1550
# Conductivity SN = 1244
# SBE43 Oxygen SN = 0357
# RINKO Oxygen SN = 0155
#1-5 dbar were removed because of error values.
NUMBER_HEADERS=10
EXPOCODE=49SO201501
SECT=138E
STNNBR=  C3345
CASTNO=2
DATE=20150127
TIME=0540
LATITUDE=33.74917
LONGITUDE=137.9942
DEPTH=     0
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,RINKOOXY,RINKOOXY_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,UMOL/KG,
337,2,9.5706,2,34.31574503,2,142.8915417,1,130.2008166,1
338,2,9.5644,2,34.31544492,2,142.8127556,1,130.0818283,1
339,2,9.5525,2,34.31514482,2,142.9246232,1,130.0580273,1
340,2,9.5407,2,34.31464466,2,142.8871889,1,130.0093594,1
341,2,9.5447,2,34.31544492,2,142.6094786,1,129.7181341,1
342,2,9.5421,2,34.31384439,2,142.6956645,1,129.5606653,1
343,2,9.5138,2,34.31384439,2,142.8998121,1,129.6970513,1
344,2,9.4916,2,34.31344425,2,142.4732351,1,129.7048857,1
345,2,9.481,2,34.31314415,2,142.2403589,1,129.625059,1
346,2,9.4843,2,34.31334422,2,142.379214,1,129.3368501,1
347,2,9.4719,2,34.31164365,2,141.7136669,1,129.1491501,1
348,2,9.431,2,34.31024318,2,141.2988425,1,129.2960229,1
349,2,9.3997,2,34.30984304,2,141.4908021,1,129.3295426,1
350,2,9.3878,2,34.31144358,2,141.6327043,1,129.1107514,1
351,2,9.3502,2,34.30194039,2,137.5136246,1,128.3590395,1
352,2,9.0954,2,34.29263726,2,135.9731593,1,129.0711774,1
