       PrDM      T090C      C0S/m    Sbeox0V       FlSP     Upoly0     Upoly1     Upoly2      Sal00  Sigma-t00 Potemp090C       SvDM Sbeox0ML/L
    134.000     4.2052   3.174678     1.0784 6.5778e-02  2.9912058 -3.1329963  0.1619015    33.7563    26.7757     4.1959    1467.94     1.7733
    135.000     4.1953   3.174365     1.0662 6.2422e-02  3.0082069 -3.1454434  0.1666578    33.7622    26.7815     4.1859    1467.93     1.7325
    136.000     4.1854   3.173900     1.0558 6.4273e-02  3.0247299 -3.1573842  0.1631674    33.7665    26.7859     4.1759    1467.90     1.7015
    137.000     4.1824   3.173762     1.0468 6.3952e-02  3.0395913 -3.1690722  0.1640915    33.7673    26.7869     4.1729    1467.91     1.6863
    138.000     4.1790   3.173611     1.0396 6.6832e-02  3.0486220 -3.1677055  0.1639899    33.7685    26.7882     4.1694    1467.91     1.6721
    139.000     4.1724   3.173393     1.0310 6.3383e-02  3.0545624 -3.1658530  0.1659316    33.7722    26.7918     4.1628    1467.91     1.6351
    140.000     4.1716   3.173486     1.0240 6.2843e-02  3.0665695 -3.1723462  0.1647522    33.7736    26.7929     4.1619    1467.92     1.6202
    141.000     4.1677   3.173773     1.0163 6.1462e-02  3.0759996 -3.1748653  0.1651512    33.7805    26.7989     4.1579    1467.93     1.5844
    142.000     4.1468   3.172281     1.0092 6.1837e-02  3.0908582 -3.1904171  0.1664697    33.7838    26.8036     4.1370    1467.86     1.5736
    143.000     4.1408   3.171851     1.0029 6.3926e-02  3.0983014 -3.1960584  0.1662290    33.7843    26.8047     4.1310    1467.86     1.5663
    144.000     4.1187   3.170079     1.0006 6.2280e-02  3.1016549 -3.2182949  0.1661788    33.7857    26.8080     4.1088    1467.78     1.5590
    145.000     4.0886   3.167640     0.9970 6.4911e-02  3.1068003 -3.2363263  0.1682772    33.7872    26.8124     4.0787    1467.67     1.5446
    146.000     4.0845   3.167375     0.9930 5.9461e-02  3.1118671 -3.2531000  0.1643510    33.7879    26.8133     4.0745    1467.67     1.5346
    147.000     4.0911   3.168199     0.9896 6.1571e-02  3.1167735 -3.2528992  0.1622900    33.7903    26.8145     4.0810    1467.72     1.5191
    148.000     4.0970   3.168923     0.9850 6.2153e-02  3.1203978 -3.2445648  0.1642404    33.7923    26.8155     4.0868    1467.76     1.5053
    149.000     4.1003   3.169434     0.9810 6.4111e-02  3.1252842 -3.2433093  0.1651547    33.7943    26.8168     4.0901    1467.80     1.4915
    150.000     4.1020   3.169962     0.9757 6.1015e-02  3.1296592 -3.2388652  0.1659931    33.7983    26.8198     4.0917    1467.82     1.4689
