       PrDM      T090C      C0S/m       FlSP     Upoly0     Upoly1      Sal00 Sbeox0ML/L  Sigma-t00       SvDM Potemp090C
    101.000    19.4470   4.696376 2.2377e-01  0.0097680  0.0922340    34.6378     5.1265    24.6297    1521.18    19.4288
    102.000    19.4396   4.695666 2.6203e-01  0.0097680  0.0885912    34.6377     5.1175    24.6315    1521.18    19.4211
    103.000    19.4346   4.695220 2.7882e-01  0.0097680  0.0878787    34.6378     5.1151    24.6329    1521.18    19.4160
    104.000    19.4293   4.694675 2.3785e-01  0.0097680  0.0880829    34.6374     5.1063    24.6339    1521.18    19.4105
    105.000    19.4197   4.693725 2.2382e-01  0.0097680  0.0886675    34.6371     5.0973    24.6362    1521.17    19.4007
    106.000    19.4123   4.692992 2.3275e-01  0.0097680  0.0904458    34.6368     5.0889    24.6378    1521.17    19.3932
    107.000    19.4067   4.693067 2.3999e-01  0.0097680  0.0912657    34.6417     5.0772    24.6431    1521.17    19.3874
    108.000    19.3963   4.692416 2.5111e-01  0.0097680  0.0924432    34.6446     5.0758    24.6480    1521.16    19.3768
    109.000    19.3771   4.691621 2.6516e-01  0.0097680  0.0932148    34.6536     5.0761    24.6598    1521.13    19.3574
    110.000    19.3376   4.687390 2.9460e-01  0.0097680  0.0957147    34.6511     5.0675    24.6680    1521.04    19.3178
    111.000    19.2965   4.682738 2.5708e-01  0.0097680  0.0965709    34.6463     5.0572    24.6749    1520.93    19.2766
    112.000    19.2726   4.680406 2.5923e-01  0.0079264  0.0947568    34.6464     5.0480    24.6812    1520.88    19.2525
    113.000    19.2431   4.678265 2.8271e-01  0.0097702  0.0931431    34.6528     5.0481    24.6937    1520.82    19.2229
    114.000    19.2184   4.676403 2.8168e-01  0.0097680  0.0919913    34.6576     5.0554    24.7037    1520.77    19.1979
    115.000    19.2073   4.675184 2.9187e-01  0.0097680  0.0913835    34.6564     5.0506    24.7056    1520.76    19.1867
    116.000    19.2006   4.674623 3.3913e-01  0.0097680  0.0909820    34.6569     5.0564    24.7077    1520.75    19.1799
    117.000    19.1958   4.674228 3.1057e-01  0.0097680  0.0901333    34.6573     5.0554    24.7092    1520.76    19.1749
