Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S779	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N4	NH1208	15	12	4	100um	na	200	400	300		night	11856.388		43.04988	-138.1465175
S780	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N5	NH1208	15	12	5	100um	na	100	200	150		night	12728.288		43.04988	-138.1465175
S781	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N6	NH1208	15	12	6	100um	na	50	100	75		night	12161.385		43.04988	-138.1465175
S782	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N7	NH1208	15	12	7	100um	na	25	50	38		night	6508.061		43.04988	-138.1465175
S783	COI	rep2	BATS	Allen	Library-BB	Transition East	2	M12N8	NH1208	15	12	8	100um	na	0	25	13		night	12055.054		43.04988	-138.1465175
S784	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N1	NH1208	34	26	1	100um	na	800	1000	900		night	8696.331		33.5469525	-134.9893835
S785	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N2	NH1208	34	26	2	100um	na	600	800	700		night	12608.296		33.5469525	-134.9893835
S786	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N3	NH1208	34	26	3	100um	na	400	600	500		night	13271.781		33.5469525	-134.9893835
S787	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N4	NH1208	34	26	4	100um	na	200	400	300		night	11856.56		33.5469525	-134.9893835
S788	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N5	NH1208	34	26	5	100um	na	100	200	150		night	11434.995		33.5469525	-134.9893835
S789	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N6	NH1208	34	26	6	100um	na	50	100	75		night	11733.689		33.5469525	-134.9893835
S790	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N7	NH1208	34	26	7	100um	na	25	50	38		night	11907.09		33.5469525	-134.9893835
S791	COI	rep2	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M26N8	NH1208	34	26	8	100um	na	0	25	13		night	12786.055		33.5469525	-134.9893835
