Sample.number	Marker	replicate	Extraction_lab	Sequencing_lab	Library_name	Location.name	Location.ID	SampleID	Cruise	Station	Tow	net	Mesh_size	Size_frac	Min_depth	Max_depth	Depth_midpoint	depth_bin	Diel	dna-conc	Province	Lat(N)	Lon(W)
S1000	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N6	NH1208	34	25	6	100um	na	50	100	75		day	13005.852		33.5469525	-134.9893835
S1001	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N7	NH1208	34	25	7	100um	na	25	50	38		day	13172.75		33.5469525	-134.9893835
S1002	18S	rep3	BATS	Allen	Library-BB	Subtropical Gyre North East	3	M25N8	NH1208	34	25	8	100um	na	0	25	13		day	11734.859		33.5469525	-134.9893835
S1003	18S	rep3	BATS	Allen	Library-BB	na	na	MOCK-EVEN	na	na	na	na	100um	na	na	na	na		na	17100		na	na
S1004	18S	rep3	BATS	Allen	Library-BB	na	na	MOCK-STAGGERED	na	na	na	na	100um	na	na	na	na		na	15700		na	na
S3122	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N3	SKQ201916S	GAK19	1	3	150um	na	600	1200	900			na		57.19301	-146.9569
S3123	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N4	SKQ201916S	GAK19	1	4	150um	na	400	600	500			na		57.19301	-146.9569
S3124	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N5	SKQ201916S	GAK19	1	5	150um	na	300	400	350			na		57.19301	-146.9569
S3125	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N6	SKQ201916S	GAK19	1	6	150um	na	200	300	250			na		57.19301	-146.9569
S3126	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N7	SKQ201916S	GAK19	1	7	150um	na	100	200	150			na		57.19301	-146.9569
S3127	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N8	SKQ201916S	GAK19	1	8	150um	na	40	100	70			na		57.19301	-146.9569
S3128	18S	rep1	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N9	SKQ201916S	GAK19	1	9	150um	na	0	40	20			na		57.19301	-146.9569
S3129	18S	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N3	SKQ201916S	GAK19	1	3	150um	na	600	1200	900			na		57.19301	-146.9569
S3130	18S	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N4	SKQ201916S	GAK19	1	4	150um	na	400	600	500			na		57.19301	-146.9569
S3131	18S	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N5	SKQ201916S	GAK19	1	5	150um	na	300	400	350			na		57.19301	-146.9569
S3132	18S	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N6	SKQ201916S	GAK19	1	6	150um	na	200	300	250			na		57.19301	-146.9569
S3133	18S	rep2	GAK	GAK	GAK	Subarctic Gyre North East	4	MN19N7	SKQ201916S	GAK19	1	7	150um	na	100	200	150			na		57.19301	-146.9569
